GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_046365665.1	TRUE	FALSE	FALSE
GCA_003000025.1	TRUE	FALSE	FALSE
GCA_012028805.1	TRUE	FALSE	FALSE
GCA_000280395.1	TRUE	FALSE	FALSE
GCA_000623595.2	TRUE	FALSE	FALSE
GCA_001112885.1	TRUE	FALSE	FALSE
GCA_003430895.1	TRUE	FALSE	FALSE
GCA_002065285.1	TRUE	FALSE	FALSE
GCA_025293855.1	TRUE	FALSE	FALSE
GCA_001359755.1	TRUE	FALSE	TRUE
GCA_001367455.1	TRUE	FALSE	FALSE
GCA_020164055.1	TRUE	FALSE	FALSE
GCA_000486645.1	TRUE	FALSE	FALSE
GCA_001109485.1	TRUE	FALSE	FALSE
GCA_001364835.1	TRUE	FALSE	FALSE
GCA_000329065.1	TRUE	FALSE	FALSE
GCA_001240255.1	TRUE	FALSE	FALSE
GCA_000272955.1	TRUE	FALSE	FALSE
GCA_006377735.2	TRUE	FALSE	FALSE
GCA_001082725.1	TRUE	FALSE	FALSE
GCA_001534985.1	TRUE	FALSE	FALSE
GCA_000974175.1	TRUE	FALSE	FALSE
GCA_001410655.1	TRUE	FALSE	FALSE
GCA_047689085.1	TRUE	FALSE	FALSE
GCA_002265965.1	TRUE	FALSE	FALSE
GCA_004919225.1	TRUE	FALSE	FALSE
GCA_902825525.1	TRUE	FALSE	FALSE
GCA_007352895.1	TRUE	FALSE	FALSE
GCA_025176895.1	TRUE	FALSE	FALSE
GCA_030847365.1	TRUE	FALSE	FALSE
GCA_000388695.1	TRUE	FALSE	FALSE
GCA_012928325.1	TRUE	FALSE	FALSE
GCA_000962305.1	TRUE	FALSE	FALSE
GCA_024656085.1	TRUE	FALSE	FALSE
GCA_040281205.1	TRUE	FALSE	FALSE
GCA_003600325.1	TRUE	FALSE	FALSE
GCA_001131425.1	TRUE	FALSE	FALSE
GCA_001163165.1	TRUE	FALSE	FALSE
GCA_020714885.1	TRUE	FALSE	FALSE
GCA_007094075.1	TRUE	FALSE	FALSE
GCA_001833725.1	TRUE	FALSE	FALSE
GCA_001367095.1	TRUE	FALSE	FALSE
GCA_021066425.1	TRUE	FALSE	FALSE
GCA_002915375.1	TRUE	FALSE	FALSE
GCA_003120395.1	TRUE	FALSE	FALSE
GCA_003069825.1	TRUE	FALSE	FALSE
GCA_943066375.1	TRUE	FALSE	FALSE
GCA_001051795.1	TRUE	FALSE	FALSE
GCA_031000675.1	TRUE	FALSE	FALSE
GCA_002048115.1	TRUE	FALSE	FALSE
GCA_003067165.1	TRUE	FALSE	FALSE
GCA_965252755.1	TRUE	FALSE	FALSE
GCA_001160065.1	TRUE	FALSE	TRUE
GCA_009834705.1	TRUE	FALSE	FALSE
GCA_001221385.1	TRUE	FALSE	FALSE
GCA_002063595.1	TRUE	FALSE	FALSE
GCA_020806075.1	TRUE	FALSE	FALSE
GCA_000468255.1	TRUE	FALSE	FALSE
GCA_003589785.1	TRUE	FALSE	FALSE
GCA_002039665.1	TRUE	FALSE	FALSE
GCA_007093755.1	TRUE	FALSE	FALSE
GCA_001955305.1	TRUE	FALSE	FALSE
GCA_001613945.1	TRUE	FALSE	FALSE
GCA_002074185.1	TRUE	FALSE	FALSE
GCA_001834255.1	TRUE	FALSE	FALSE
GCA_001240025.1	TRUE	FALSE	TRUE
GCA_028892825.1	TRUE	FALSE	FALSE
GCA_965257525.1	TRUE	FALSE	FALSE
GCA_000412795.1	TRUE	FALSE	FALSE
GCA_001165625.1	TRUE	FALSE	FALSE
GCA_002032985.1	TRUE	FALSE	FALSE
GCA_041921015.1	TRUE	FALSE	TRUE
GCA_001216205.1	TRUE	FALSE	FALSE
GCA_003597185.1	TRUE	FALSE	FALSE
GCA_008363955.1	TRUE	TRUE	TRUE
GCA_001317685.2	TRUE	FALSE	FALSE
GCA_001174705.1	TRUE	FALSE	FALSE
GCA_045344155.1	TRUE	FALSE	FALSE
GCA_004919405.1	TRUE	FALSE	FALSE
GCA_030374695.1	TRUE	FALSE	FALSE
GCA_003066585.1	TRUE	FALSE	FALSE
GCA_025293715.1	TRUE	FALSE	FALSE
GCA_003200345.1	TRUE	FALSE	FALSE
GCA_002056945.1	TRUE	FALSE	FALSE
GCA_001350195.1	TRUE	FALSE	FALSE
GCA_003591125.1	TRUE	FALSE	TRUE
GCA_006383725.1	TRUE	FALSE	FALSE
GCA_013411785.1	TRUE	FALSE	FALSE
GCA_900002865.1	TRUE	FALSE	FALSE
GCA_041412605.1	TRUE	FALSE	FALSE
GCA_039045435.1	TRUE	FALSE	FALSE
GCA_003200755.1	TRUE	FALSE	FALSE
GCA_011304815.1	TRUE	FALSE	FALSE
GCA_001246195.1	TRUE	FALSE	FALSE
GCA_030503015.1	TRUE	FALSE	FALSE
GCA_001080625.1	TRUE	FALSE	FALSE
GCA_002030715.1	TRUE	FALSE	FALSE
GCA_002064765.1	TRUE	FALSE	FALSE
GCA_002858585.1	TRUE	FALSE	FALSE
GCA_001457355.1	TRUE	TRUE	TRUE
GCA_009668565.1	TRUE	FALSE	FALSE
GCA_013344465.1	TRUE	FALSE	FALSE
GCA_001142525.1	TRUE	FALSE	FALSE
GCA_005884165.1	TRUE	FALSE	FALSE
GCA_051293995.1	TRUE	FALSE	FALSE
GCA_040534005.1	TRUE	FALSE	FALSE
GCA_001999405.1	TRUE	FALSE	TRUE
GCA_012028675.1	TRUE	FALSE	FALSE
GCA_007094775.1	TRUE	FALSE	FALSE
GCA_001755875.1	TRUE	FALSE	TRUE
GCA_041922195.1	TRUE	FALSE	FALSE
GCA_037480635.1	TRUE	FALSE	FALSE
GCA_003005885.1	TRUE	FALSE	FALSE
GCA_006443195.1	TRUE	FALSE	FALSE
GCA_000344845.1	TRUE	FALSE	FALSE
GCA_002090865.1	TRUE	FALSE	FALSE
GCA_012028595.1	TRUE	FALSE	FALSE
GCA_001239885.1	TRUE	FALSE	TRUE
GCA_001361655.1	TRUE	FALSE	FALSE
GCA_003856755.1	TRUE	FALSE	FALSE
GCA_039032275.1	TRUE	FALSE	FALSE
GCA_001366155.1	TRUE	FALSE	FALSE
GCA_001951685.1	TRUE	FALSE	FALSE
GCA_000329605.1	TRUE	FALSE	FALSE
GCA_041411135.1	TRUE	FALSE	FALSE
GCA_016773415.1	TRUE	FALSE	FALSE
GCA_001241665.1	TRUE	FALSE	FALSE
GCA_030316445.1	TRUE	FALSE	FALSE
GCA_000984735.1	TRUE	FALSE	FALSE
GCA_013412125.1	TRUE	FALSE	FALSE
GCA_001120625.1	TRUE	FALSE	FALSE
GCA_001355695.1	TRUE	FALSE	FALSE
GCA_005890095.1	TRUE	FALSE	FALSE
GCA_007093735.1	TRUE	FALSE	FALSE
GCA_026132305.1	TRUE	FALSE	FALSE
GCA_000623515.2	TRUE	FALSE	FALSE
GCA_000973835.1	TRUE	FALSE	FALSE
GCA_037004505.1	TRUE	FALSE	FALSE
GCA_001366075.1	TRUE	FALSE	FALSE
GCA_037774005.1	TRUE	FALSE	FALSE
GCA_007352885.1	TRUE	FALSE	TRUE
GCA_018915825.1	TRUE	FALSE	FALSE
GCA_000483715.2	TRUE	FALSE	FALSE
GCA_008362975.1	TRUE	FALSE	FALSE
GCA_943119005.1	TRUE	FALSE	FALSE
GCA_049808555.1	TRUE	FALSE	FALSE
GCA_019587045.1	TRUE	FALSE	FALSE
GCA_003606225.1	TRUE	FALSE	FALSE
GCA_002042405.1	TRUE	FALSE	FALSE
GCA_001216985.1	TRUE	FALSE	FALSE
GCA_014349295.1	TRUE	FALSE	FALSE
GCA_036039755.1	TRUE	FALSE	FALSE
GCA_023007375.1	TRUE	FALSE	FALSE
GCA_000985775.1	TRUE	TRUE	TRUE
